pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday,run
SOL/USDT,9.994,9.994,0.076,2025-12-01 00:10:00+00:00,2025-12-02 13:20:00+00:00,131.5,130.22,0.001,0.001,2230,-0.01171239406980852,-0.11717072,exit_signal,86.53,-0.342,86.53,-0.342,123.11,132.01,False,,1.0,False,1764547800000,1764681600000,"[{'amount': 0.076, 'safe_price': 131.5, 'ft_order_side': 'buy', 'order_filled_timestamp': 1764547800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 10.003993999999999}, {'amount': 0.076, 'safe_price': 130.22, 'ft_order_side': 'sell', 'order_filled_timestamp': 1764681600000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 9.906616719999999}]",0.0,1,risk_train
LINK/USDT,10.0093,10.0093,0.79,2025-12-01 00:10:00+00:00,2025-12-02 13:45:00+00:00,12.67,12.36,0.001,0.001,2255,-0.026416361854404477,-0.2646737,exit_signal,8.34,-0.342,8.34,-0.342,11.74,12.71,False,,1.0,False,1764547800000,1764683100000,"[{'amount': 0.79, 'safe_price': 12.67, 'ft_order_side': 'buy', 'order_filled_timestamp': 1764547800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 10.019309299999998}, {'amount': 0.79, 'safe_price': 12.36, 'ft_order_side': 'sell', 'order_filled_timestamp': 1764683100000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 9.774164399999998}]",0.0,1,risk_train
ETH/USDT,9.985528,9.985528,0.0034,2025-12-01 00:10:00+00:00,2025-12-02 14:00:00+00:00,2936.92,2844.73,0.001,0.001,2270,-0.03332531230805613,-0.33310361,exit_signal,1932.5,-0.342,1932.5,-0.342,2716.04,2942.2,False,,1.0,False,1764547800000,1764684000000,"[{'amount': 0.0034, 'safe_price': 2936.92, 'ft_order_side': 'buy', 'order_filled_timestamp': 1764547800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.995513528}, {'amount': 0.0034, 'safe_price': 2844.73, 'ft_order_side': 'sell', 'order_filled_timestamp': 1764684000000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 9.681754082}]",0.0,1,risk_train
BTC/USDT,9.8059434,9.8059434,0.00011,2025-12-01 00:10:00+00:00,2025-12-02 14:10:00+00:00,89144.94,88096.0,0.001,0.001,2280,-0.013741171996276752,-0.1348799,exit_signal,58657.38,-0.342,58657.38,-0.342,83822.76,89308.59,False,,1.0,False,1764547800000,1764684600000,"[{'amount': 0.00011, 'safe_price': 89144.94, 'ft_order_side': 'buy', 'order_filled_timestamp': 1764547800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.815749343399998}, {'amount': 0.00011, 'safe_price': 88096.0, 'ft_order_side': 'sell', 'order_filled_timestamp': 1764684600000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 9.700250559999999}]",0.0,1,risk_train
AVAX/USDT,9.9788,9.9788,0.76,2025-12-01 00:55:00+00:00,2025-12-02 14:25:00+00:00,13.13,13.16,0.001,0.001,2250,0.00028227674838489765,0.0028196,roi,8.64,-0.342,8.64,-0.342,12.54,13.26,False,,1.0,False,1764550500000,1764685500000,"[{'amount': 0.76, 'safe_price': 13.13, 'ft_order_side': 'buy', 'order_filled_timestamp': 1764550500000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.9887788}, {'amount': 0.76, 'safe_price': 13.16, 'ft_order_side': 'sell', 'order_filled_timestamp': 1764685500000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 10.011601599999999}]",0.0,1,risk_train
ETH/USDT,9.702,9.702,0.0033,2025-12-07 14:30:00+00:00,2025-12-07 15:55:00+00:00,2940.0,2997.11,0.001,0.001,85,0.017388356850323455,0.16887054,roi,1934.52,-0.342,1934.52,-0.342,2927.52,3038.92,False,,1.0,False,1765117800000,1765122900000,"[{'amount': 0.0033, 'safe_price': 2940.0, 'ft_order_side': 'buy', 'order_filled_timestamp': 1765117800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.711701999999999}, {'amount': 0.0033, 'safe_price': 2997.11, 'ft_order_side': 'sell', 'order_filled_timestamp': 1765122900000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 9.900353463}]",0.0,6,risk_train
TRX/USDT,9.84555,9.84555,35.1,2025-12-09 00:20:00+00:00,2025-12-09 04:10:00+00:00,0.2805,0.2811,0.001,0.001,230,0.0001367616340878373,0.00134784,roi,0.1846,-0.342,0.1846,-0.342,0.2801,0.2815,False,,1.0,False,1765239600000,1765253400000,"[{'amount': 35.1, 'safe_price': 0.2805, 'ft_order_side': 'buy', 'order_filled_timestamp': 1765239600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.85539555}, {'amount': 35.1, 'safe_price': 0.2811, 'ft_order_side': 'sell', 'order_filled_timestamp': 1765253400000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 9.876476610000001}]",0.0,1,risk_train
AVAX/USDT,9.798,9.798,0.69,2025-12-10 11:45:00+00:00,2025-12-10 14:15:00+00:00,14.2,14.25,0.001,0.001,150,0.0015160895442585583,0.0148695,roi,9.35,-0.342,9.35,-0.342,14.15,14.33,False,,1.0,False,1765367100000,1765376100000,"[{'amount': 0.69, 'safe_price': 14.2, 'ft_order_side': 'buy', 'order_filled_timestamp': 1765367100000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.807797999999996}, {'amount': 0.69, 'safe_price': 14.25, 'ft_order_side': 'sell', 'order_filled_timestamp': 1765376100000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 9.842332499999998}]",0.0,2,risk_train
ETH/USDT,9.82848,9.82848,0.0032,2025-12-12 16:00:00+00:00,2025-12-12 18:30:00+00:00,3071.4,3085.06,0.001,0.001,150,0.002440595357302722,0.02401133,roi,2020.99,-0.342,2020.99,-0.342,3045.31,3099.88,False,,1.0,False,1765555200000,1765564200000,"[{'amount': 0.0032, 'safe_price': 3071.4, 'ft_order_side': 'buy', 'order_filled_timestamp': 1765555200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.83830848}, {'amount': 0.0032, 'safe_price': 3085.06, 'ft_order_side': 'sell', 'order_filled_timestamp': 1765564200000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 9.882064192}]",0.0,4,risk_train
DOGE/USDT,9.78257,9.78257,79.0,2025-12-25 22:55:00+00:00,2025-12-26 01:25:00+00:00,0.12383,0.12408,0.001,0.001,150,1.686111675613412e-05,0.00016511,roi,0.08149,-0.342,0.08149,-0.342,0.123,0.12472,False,,1.0,False,1766703300000,1766712300000,"[{'amount': 79.0, 'safe_price': 0.12383, 'ft_order_side': 'buy', 'order_filled_timestamp': 1766703300000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.792352569999998}, {'amount': 79.0, 'safe_price': 0.12408, 'ft_order_side': 'sell', 'order_filled_timestamp': 1766712300000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 9.812122319999999}]",0.0,4,risk_train
